Region,Delta Air Lines: (2020)
Minnesota,100
Georgia,98
Utah,92
Michigan,70
North Dakota,65
Montana,65
Louisiana,65
Alaska,60
Hawaii,57
Idaho,47
New York,47
Washington,47
Alabama,46
Florida,45
Mississippi,41
South Dakota,40
District of Columbia,39
Wisconsin,38
Massachusetts,36
Connecticut,36
South Carolina,35
Nevada,35
Wyoming,35
Tennessee,34
Oregon,33
Ohio,33
North Carolina,32
Kentucky,31
Virginia,30
Arizona,30
Nebraska,29
California,28
Colorado,28
Vermont,28
Indiana,27
New Hampshire,27
Maine,27
Rhode Island,26
Arkansas,26
Iowa,25
Missouri,24
Texas,24
Kansas,23
Maryland,23
New Jersey,22
Illinois,22
Oklahoma,20
New Mexico,19
Pennsylvania,19
Delaware,17
West Virginia,16
