Region,Merck & Co.: (2020)
Pennsylvania,100
New Jersey,84
District of Columbia,54
Delaware,43
New York,37
Virginia,35
Massachusetts,34
Vermont,32
North Carolina,32
Maryland,28
Connecticut,27
Kansas,25
South Carolina,22
Missouri,22
Nebraska,22
Iowa,21
West Virginia,19
Florida,19
North Dakota,19
Tennessee,19
Georgia,19
Rhode Island,18
Illinois,18
Indiana,18
Maine,18
Minnesota,18
California,17
Wisconsin,17
Arkansas,17
South Dakota,16
New Hampshire,16
Alaska,16
Arizona,16
Texas,15
Washington,15
Michigan,15
Ohio,15
Oregon,14
New Mexico,14
Colorado,13
Kentucky,13
Wyoming,12
Alabama,12
Hawaii,12
Nevada,11
Idaho,11
Utah,11
Mississippi,11
Louisiana,10
Montana,10
Oklahoma,9
