Region,UnitedHealth Group: (2020)
Minnesota,100
Rhode Island,82
Arizona,81
Florida,75
District of Columbia,74
Wisconsin,72
Connecticut,65
Louisiana,65
Tennessee,64
Colorado,63
Missouri,63
New Jersey,63
New York,62
Texas,58
Nevada,57
North Carolina,54
Kansas,53
Mississippi,53
Maryland,52
Ohio,51
Virginia,51
Georgia,50
Nebraska,49
Indiana,47
Arkansas,47
Utah,46
Iowa,45
Illinois,45
Pennsylvania,45
South Carolina,43
Oklahoma,42
Washington,41
Oregon,41
Alabama,41
New Mexico,40
Delaware,39
Massachusetts,38
Hawaii,35
Maine,35
Wyoming,35
California,34
West Virginia,34
New Hampshire,33
Kentucky,32
Michigan,30
Idaho,29
Vermont,29
North Dakota,26
South Dakota,23
Montana,18
Alaska,17
