Region,American Airlines: (2020)
Arizona,100
District of Columbia,95
Florida,82
Texas,76
North Carolina,74
Delaware,73
Hawaii,71
Illinois,65
Pennsylvania,62
Nevada,59
Oklahoma,58
South Carolina,58
Virginia,52
New Mexico,51
Maine,48
Massachusetts,46
Iowa,46
Rhode Island,45
Arkansas,45
Colorado,45
Louisiana,44
New Hampshire,44
South Dakota,44
Connecticut,43
California,43
Missouri,43
New York,42
Vermont,42
Kansas,41
Tennessee,41
Maryland,40
Wisconsin,40
Nebraska,40
New Jersey,39
Indiana,38
Mississippi,35
Ohio,34
Utah,34
Alaska,33
Alabama,33
Kentucky,32
Georgia,31
Minnesota,31
Idaho,31
Michigan,31
North Dakota,31
Washington,31
Wyoming,29
Montana,28
Oregon,28
West Virginia,26
