Region,Charter Communications: (2020)
Maine,100
North Carolina,99
Hawaii,97
Wisconsin,86
Ohio,80
Montana,74
Kentucky,71
Wyoming,71
South Carolina,69
Missouri,61
Alabama,52
New York,51
Florida,47
Texas,44
California,40
Nebraska,32
Michigan,31
Tennessee,30
Minnesota,22
Nevada,22
Kansas,20
Oregon,20
Georgia,19
Indiana,19
Massachusetts,18
New Hampshire,17
Louisiana,17
Colorado,15
Connecticut,14
Vermont,12
Idaho,12
Washington,11
Illinois,10
West Virginia,8
Virginia,7
Pennsylvania,6
New Mexico,6
Arizona,6
New Jersey,6
District of Columbia,4
Mississippi,4
Utah,4
Rhode Island,3
Iowa,3
Arkansas,3
Maryland,3
North Dakota,3
Oklahoma,2
Delaware,2
Alaska,2
South Dakota,2
