Region,Allstate: (2020)
South Carolina,100
Louisiana,91
Alabama,86
Texas,73
Illinois,73
Rhode Island,71
Georgia,71
Alaska,68
Maryland,66
Ohio,66
North Carolina,65
Oklahoma,65
Utah,63
Pennsylvania,62
New York,62
Arkansas,61
Virginia,61
Idaho,61
West Virginia,59
New Mexico,59
Nevada,58
Connecticut,58
Colorado,57
New Hampshire,56
Mississippi,55
Indiana,55
Florida,54
New Jersey,53
Hawaii,53
Arizona,52
Delaware,51
Oregon,51
Nebraska,50
Tennessee,48
Kansas,47
Washington,47
Michigan,47
District of Columbia,46
Kentucky,44
Maine,43
Wyoming,43
Iowa,42
Vermont,41
California,40
Missouri,39
Wisconsin,37
Minnesota,36
Montana,35
North Dakota,33
Massachusetts,26
South Dakota,25
