Region,New York Life Insurance Company: (2020)
New York,100
New Jersey,70
Alaska,60
Delaware,53
Massachusetts,50
South Dakota,46
Louisiana,43
Vermont,42
District of Columbia,41
Hawaii,40
Connecticut,38
Rhode Island,36
Kansas,35
Pennsylvania,35
South Carolina,35
California,35
Virginia,33
Maryland,33
Alabama,32
Texas,32
Iowa,32
Washington,31
Georgia,31
Florida,31
Oklahoma,30
New Mexico,28
Mississippi,27
Wyoming,27
Illinois,27
Montana,26
Missouri,26
New Hampshire,25
Nebraska,25
North Carolina,25
North Dakota,24
Colorado,24
Tennessee,24
Ohio,24
Nevada,22
Idaho,22
Arizona,21
Maine,20
Arkansas,19
Utah,19
Wisconsin,18
Minnesota,18
Kentucky,18
Oregon,17
Indiana,15
Michigan,15
West Virginia,15
