Region,Nationwide Mutual Insurance Company: (2020)
West Virginia,100
North Carolina,64
Delaware,63
Ohio,54
Pennsylvania,46
Iowa,45
Maryland,44
Virginia,43
South Carolina,41
Mississippi,33
Rhode Island,31
Vermont,26
Arkansas,26
Wyoming,26
Arizona,24
Nebraska,24
District of Columbia,24
Alabama,23
Georgia,23
Connecticut,23
Kansas,22
Tennessee,22
Indiana,19
Kentucky,19
Colorado,18
Texas,18
Missouri,18
New York,17
Florida,16
North Dakota,16
Illinois,16
California,15
Idaho,15
Minnesota,15
Maine,14
Nevada,14
Utah,14
New Hampshire,13
Washington,13
Oregon,12
Michigan,11
New Jersey,11
Wisconsin,11
South Dakota,11
New Mexico,10
Montana,10
Louisiana,10
Oklahoma,9
Massachusetts,9
Hawaii,8
Alaska,3
