Region,Best Buy: (2020)
North Dakota,100
Texas,100
Louisiana,94
California,92
Nevada,89
Delaware,89
Florida,89
Wisconsin,88
Minnesota,88
Michigan,88
Illinois,86
Hawaii,85
Indiana,84
Maryland,83
Connecticut,82
Rhode Island,81
New York,81
Ohio,80
New Mexico,79
Massachusetts,79
Virginia,79
New Hampshire,79
Arizona,78
Alaska,78
Georgia,78
Oklahoma,77
New Jersey,77
Colorado,77
South Carolina,75
Pennsylvania,75
Missouri,75
Mississippi,74
North Carolina,74
Oregon,74
South Dakota,74
Alabama,74
Iowa,73
Utah,72
Washington,72
Tennessee,71
Idaho,70
Arkansas,70
Kansas,67
Kentucky,66
Nebraska,65
Vermont,64
West Virginia,63
District of Columbia,62
Maine,60
Montana,51
Wyoming,41
