Region,United Airlines: (2020)
Hawaii,100
Colorado,91
New Jersey,81
Wyoming,72
District of Columbia,62
Illinois,58
Montana,47
North Dakota,42
California,42
Virginia,42
Texas,41
Nevada,39
Idaho,35
Nebraska,35
South Dakota,34
Oregon,33
Vermont,31
Florida,31
New York,31
Wisconsin,30
Arizona,29
Iowa,29
Maryland,27
Massachusetts,26
Washington,26
Utah,25
New Mexico,24
Louisiana,24
Kansas,24
Connecticut,23
Ohio,23
Alaska,23
Rhode Island,22
Oklahoma,22
Pennsylvania,22
Maine,22
Missouri,21
Minnesota,21
Indiana,20
Delaware,19
North Carolina,18
Michigan,18
New Hampshire,17
Tennessee,17
South Carolina,17
Arkansas,16
West Virginia,16
Georgia,15
Kentucky,15
Mississippi,15
Alabama,14
