Region,Liberty Mutual: (2020)
Massachusetts,100
New Hampshire,96
Delaware,88
Maine,82
Kentucky,78
Rhode Island,63
Connecticut,60
West Virginia,59
Pennsylvania,54
New Jersey,53
Colorado,50
Vermont,48
New York,48
Georgia,47
South Carolina,44
Utah,43
Hawaii,42
Arizona,42
Michigan,41
District of Columbia,40
Ohio,40
Tennessee,39
North Carolina,38
Idaho,38
Maryland,38
New Mexico,36
Indiana,36
Oregon,35
Missouri,34
Louisiana,34
Illinois,33
Oklahoma,33
Nevada,33
Texas,32
Alabama,31
Virginia,31
Minnesota,30
Arkansas,29
Washington,28
Mississippi,28
Alaska,26
Wisconsin,24
Florida,23
Montana,22
California,21
Nebraska,21
Kansas,19
Iowa,18
Wyoming,16
North Dakota,15
South Dakota,11
