Region,Dow: (2020)
Louisiana,100
Michigan,96
West Virginia,50
Texas,50
Delaware,34
New York,34
Pennsylvania,32
New Jersey,31
District of Columbia,30
Kentucky,26
Connecticut,25
Illinois,25
Colorado,23
Iowa,22
New Hampshire,22
Maine,21
Montana,21
Minnesota,20
Wisconsin,19
Wyoming,19
Tennessee,19
Hawaii,19
Ohio,19
Kansas,18
Massachusetts,18
Florida,18
Alabama,18
Rhode Island,18
Indiana,18
Virginia,18
Nebraska,18
Vermont,15
South Carolina,15
North Carolina,15
Oregon,15
Missouri,15
Mississippi,14
Washington,14
California,14
Utah,13
Georgia,13
New Mexico,13
Maryland,10
Arkansas,10
Arizona,10
North Dakota,9
Nevada,9
Oklahoma,8
Alaska,6
South Dakota,4
Idaho,4
