Region,Tyson Foods: (2020)
Arkansas,100
Iowa,51
Nebraska,36
Kansas,26
Oklahoma,20
Mississippi,19
Missouri,18
Tennessee,16
South Dakota,15
Indiana,14
Kentucky,14
Georgia,12
Alabama,12
North Carolina,11
District of Columbia,10
Illinois,10
Texas,10
Maine,10
Virginia,9
South Carolina,8
Michigan,8
Minnesota,8
Wisconsin,8
Ohio,8
West Virginia,8
Louisiana,8
Wyoming,7
Washington,7
Vermont,7
North Dakota,6
Pennsylvania,6
Maryland,6
Delaware,5
Colorado,5
Hawaii,5
Florida,5
New Jersey,5
New Hampshire,5
Massachusetts,5
Idaho,5
Nevada,5
Arizona,4
New York,4
Connecticut,4
Rhode Island,4
Utah,4
New Mexico,4
California,4
Oregon,4
Alaska,3
Montana,3
