Region,McKesson Corporation: (2020)
Arizona,100
South Dakota,91
Arkansas,82
Mississippi,76
West Virginia,74
Georgia,74
Nebraska,74
Tennessee,74
Oklahoma,70
Virginia,70
Connecticut,69
Montana,69
Alabama,69
Texas,68
Iowa,67
Kentucky,65
District of Columbia,63
Massachusetts,62
Alaska,58
Kansas,58
Rhode Island,57
New Hampshire,57
Florida,56
South Carolina,56
Pennsylvania,56
Delaware,55
New Jersey,55
Wyoming,55
Idaho,55
Missouri,53
Minnesota,53
Washington,53
Wisconsin,53
Maine,52
Maryland,51
California,51
Louisiana,51
Ohio,51
Illinois,51
North Carolina,50
Hawaii,50
Utah,50
Oregon,49
Michigan,48
North Dakota,48
New York,46
Indiana,43
Colorado,42
New Mexico,40
Nevada,28
Vermont,28
