Region,TJX Companies: (2020)
Massachusetts,100
New Hampshire,72
Rhode Island,47
Connecticut,41
New Jersey,34
Wyoming,32
Delaware,32
Vermont,31
New York,29
Florida,28
Maryland,24
District of Columbia,23
Pennsylvania,23
Maine,23
Georgia,22
Illinois,20
Virginia,20
Nevada,19
California,18
Tennessee,18
North Carolina,18
Arizona,15
Wisconsin,15
Ohio,15
Alabama,14
Michigan,14
Indiana,14
Arkansas,13
Washington,13
Mississippi,13
South Carolina,13
Kentucky,13
Texas,13
Nebraska,13
West Virginia,12
Oregon,12
Colorado,12
Minnesota,12
North Dakota,12
Iowa,12
Kansas,11
Missouri,11
Utah,11
Louisiana,11
Hawaii,11
Idaho,9
Oklahoma,8
Montana,8
South Dakota,8
New Mexico,7
Alaska,
