Region,TIAA: (2020)
Vermont,100
Rhode Island,90
Iowa,74
District of Columbia,71
Connecticut,67
New York,65
Maine,63
Pennsylvania,60
Massachusetts,59
New Hampshire,57
North Dakota,51
New Jersey,50
Delaware,48
Arkansas,45
West Virginia,44
North Carolina,43
Wyoming,43
Colorado,42
Maryland,41
Michigan,39
Virginia,36
Missouri,35
Nebraska,32
Kansas,30
Kentucky,29
Alabama,29
Montana,29
Washington,27
Illinois,26
Utah,25
Florida,24
Minnesota,24
New Mexico,24
Hawaii,24
Idaho,24
Oregon,23
Indiana,22
South Carolina,22
Nevada,22
Ohio,21
Wisconsin,21
Georgia,19
Tennessee,19
Oklahoma,18
South Dakota,17
California,17
Alaska,16
Arizona,16
Louisiana,15
Texas,14
Mississippi,10
