Region,Oracle: (2020)
New Hampshire,100
Oregon,88
Rhode Island,85
Connecticut,83
Nevada,83
Virginia,80
New Jersey,79
Arizona,77
Colorado,76
Massachusetts,75
California,75
Georgia,75
Mississippi,74
Utah,74
North Carolina,74
Wyoming,74
New York,72
Michigan,72
Tennessee,72
Hawaii,71
Florida,71
Montana,71
West Virginia,70
New Mexico,70
Ohio,68
Washington,68
Delaware,67
Pennsylvania,67
Idaho,67
Texas,65
Minnesota,64
Louisiana,64
Missouri,64
Kentucky,62
Kansas,62
Indiana,61
Arkansas,61
Wisconsin,61
Illinois,59
South Carolina,57
Maine,57
Alabama,55
Maryland,55
Iowa,54
South Dakota,53
Nebraska,53
District of Columbia,52
Oklahoma,51
Vermont,42
Alaska,40
North Dakota,33
