Region,General Dynamics: (2020)
Rhode Island,100
Maine,97
Virginia,85
Connecticut,47
District of Columbia,45
Maryland,44
Louisiana,27
Vermont,22
Arizona,22
Hawaii,21
Arkansas,21
Massachusetts,19
Nebraska,17
Alaska,17
Alabama,16
Mississippi,15
Georgia,15
North Carolina,14
Colorado,13
Kentucky,12
New Hampshire,12
Ohio,12
Pennsylvania,12
Florida,12
West Virginia,11
Delaware,11
Michigan,11
Washington,11
New Mexico,10
South Carolina,10
California,10
Texas,9
Illinois,9
Utah,9
New Jersey,8
New York,8
Wisconsin,8
Minnesota,7
Nevada,7
Idaho,7
Kansas,6
Oklahoma,6
Tennessee,6
Iowa,6
Missouri,6
Indiana,5
Oregon,5
Wyoming,
Montana,
South Dakota,
North Dakota,
