Region,John Deere: (2020)
Iowa,100
North Dakota,85
South Dakota,73
Nebraska,61
Vermont,47
Wisconsin,47
Minnesota,46
Kansas,42
Montana,42
West Virginia,41
Maine,39
Arkansas,38
Missouri,38
Mississippi,37
Kentucky,35
Alabama,34
Indiana,33
Oklahoma,32
Wyoming,29
Michigan,28
Tennessee,28
Ohio,26
Illinois,25
New Hampshire,25
Idaho,25
North Carolina,24
Louisiana,23
Pennsylvania,23
Georgia,22
South Carolina,22
Virginia,20
Connecticut,18
Oregon,18
Texas,17
Washington,16
Delaware,16
Alaska,15
New York,13
Rhode Island,13
Maryland,13
Utah,12
New Mexico,12
Colorado,12
Massachusetts,12
Florida,9
New Jersey,7
Arizona,6
Hawaii,5
California,5
District of Columbia,4
Nevada,4
