Region,Nike: (2020)
New York,100
Georgia,67
Mississippi,67
Oregon,66
California,64
New Jersey,59
Illinois,59
Maryland,59
Louisiana,59
Alabama,59
Delaware,58
Michigan,58
District of Columbia,56
Texas,56
Pennsylvania,55
Tennessee,55
Connecticut,55
Rhode Island,55
Ohio,54
Nevada,54
Utah,53
Arkansas,52
Florida,52
North Carolina,52
Massachusetts,52
Virginia,51
Missouri,51
South Carolina,51
Arizona,51
Kentucky,51
Indiana,51
Washington,50
Iowa,50
Nebraska,48
Oklahoma,48
Kansas,48
Wisconsin,46
Minnesota,44
Hawaii,43
New Mexico,42
Colorado,42
West Virginia,41
South Dakota,40
North Dakota,39
Idaho,37
New Hampshire,37
Maine,34
Vermont,32
Montana,31
Alaska,30
Wyoming,30
