Region,Progressive Corporation: (2020)
Michigan,100
Florida,86
Rhode Island,86
Louisiana,82
Iowa,81
North Dakota,80
Minnesota,80
Georgia,77
Ohio,76
Nebraska,74
Wisconsin,74
Vermont,73
New Mexico,73
South Carolina,73
Nevada,69
Delaware,69
Wyoming,67
Maine,65
Oklahoma,64
Kansas,64
Oregon,63
Montana,62
Arizona,62
Colorado,61
Connecticut,60
Indiana,60
Kentucky,59
Missouri,58
Texas,58
Alabama,58
Pennsylvania,58
South Dakota,57
New Jersey,56
Mississippi,55
Idaho,54
Arkansas,54
Alaska,53
New Hampshire,52
North Carolina,52
Tennessee,51
Washington,51
Virginia,50
West Virginia,50
Maryland,48
New York,47
Utah,43
Illinois,40
Massachusetts,39
District of Columbia,34
California,31
Hawaii,25
