Region,Publix: (2020)
Florida,100
Alabama,50
Georgia,48
South Carolina,38
Tennessee,21
North Carolina,14
Virginia,5
Louisiana,2
Mississippi,1
Kentucky,1
District of Columbia,1
Arkansas,1
Connecticut,1
Maryland,1
New York,1
Ohio,1
Illinois,1
Rhode Island,<1
Texas,<1
Delaware,<1
Alaska,<1
New Jersey,<1
Colorado,<1
Pennsylvania,<1
Missouri,<1
Maine,<1
Indiana,<1
Minnesota,<1
Michigan,<1
New Hampshire,<1
Iowa,<1
Massachusetts,<1
Wisconsin,<1
Vermont,<1
California,<1
North Dakota,<1
West Virginia,<1
Kansas,<1
Nebraska,<1
Arizona,<1
Oklahoma,<1
Hawaii,<1
Nevada,<1
South Dakota,<1
Washington,<1
Oregon,<1
New Mexico,<1
Montana,<1
Idaho,<1
Wyoming,<1
Utah,<1
