Region,The Coca-Cola Company: (2020)
Georgia,100
Louisiana,80
Alabama,79
Tennessee,78
Mississippi,75
Kentucky,75
North Dakota,74
Indiana,73
South Dakota,71
Utah,70
Arkansas,69
South Carolina,69
North Carolina,66
West Virginia,66
Florida,65
Texas,65
Missouri,65
Oklahoma,64
Ohio,62
Nebraska,62
Iowa,62
Virginia,61
Nevada,60
New Mexico,60
Kansas,60
Illinois,60
Minnesota,57
Arizona,57
Michigan,56
Pennsylvania,56
Delaware,55
California,55
Wisconsin,54
Alaska,53
Connecticut,53
Maryland,52
Rhode Island,51
Idaho,51
New Hampshire,50
Massachusetts,50
Washington,50
Oregon,49
New York,49
Colorado,49
Hawaii,49
New Jersey,48
Wyoming,48
Vermont,47
Maine,45
Montana,43
District of Columbia,40
