Region,Massachusetts Mutual Life Insurance Company: (2020)
Massachusetts,100
Connecticut,86
Rhode Island,65
New Jersey,47
Vermont,46
District of Columbia,38
West Virginia,38
New York,37
Oklahoma,32
Virginia,32
Pennsylvania,31
Iowa,31
Tennessee,31
Georgia,30
New Hampshire,30
Michigan,30
Illinois,30
Indiana,29
Florida,28
Alabama,28
South Carolina,28
Nevada,28
Louisiana,27
Minnesota,27
Delaware,27
Missouri,26
Kentucky,26
Wyoming,26
North Dakota,25
North Carolina,24
Arizona,24
Nebraska,24
Kansas,24
Maine,24
Maryland,23
Ohio,23
South Dakota,22
California,21
Texas,21
Montana,21
Hawaii,20
Colorado,20
Mississippi,20
Wisconsin,19
Idaho,18
Arkansas,17
Oregon,15
Utah,15
Washington,14
New Mexico,11
Alaska,6
