Region,AT&T: (2020)
Mississippi,100
Louisiana,100
Arkansas,79
Alabama,76
Oklahoma,76
Georgia,71
Texas,69
Kentucky,67
Alaska,66
Tennessee,65
Missouri,64
Indiana,56
South Carolina,54
West Virginia,54
Illinois,52
Florida,50
Kansas,49
California,49
Michigan,47
Ohio,45
North Carolina,44
Wisconsin,42
Nevada,37
Connecticut,35
Vermont,32
Pennsylvania,31
Delaware,31
Hawaii,30
South Dakota,28
North Dakota,28
Virginia,28
Washington,27
Oregon,27
Wyoming,26
Maryland,26
Colorado,26
New York,26
New Mexico,25
New Jersey,25
Montana,24
Arizona,24
District of Columbia,24
Idaho,24
Massachusetts,24
Minnesota,24
Utah,22
Rhode Island,22
Maine,21
New Hampshire,20
Iowa,18
Nebraska,14
