Region,Tech Data: (2020)
Florida,100
Arizona,62
Alabama,51
Massachusetts,44
Nebraska,41
New Mexico,34
Tennessee,33
Georgia,33
Indiana,32
Texas,32
New York,31
Ohio,31
Minnesota,31
Wisconsin,27
Virginia,26
South Carolina,25
Maryland,24
Utah,24
Louisiana,23
Colorado,22
Pennsylvania,22
Oregon,21
Illinois,21
California,21
New Jersey,20
Iowa,18
New Hampshire,18
Michigan,18
North Carolina,18
Missouri,18
Kentucky,17
Washington,16
Connecticut,16
Kansas,16
Oklahoma,12
Nevada,8
North Dakota,
South Dakota,
Maine,
West Virginia,
Delaware,
Vermont,
Mississippi,
Rhode Island,
Arkansas,
Alaska,
District of Columbia,
Hawaii,
Idaho,
Montana,
Wyoming,
