Region,World Fuel Services: (2020)
Florida,100
Kansas,95
Washington,35
Connecticut,35
Oregon,33
Texas,30
Colorado,30
New York,25
North Carolina,25
Minnesota,24
Missouri,24
Virginia,24
Georgia,23
New Jersey,22
Illinois,20
California,14
Pennsylvania,10
Massachusetts,6
Ohio,4
Montana,
District of Columbia,
Arkansas,
West Virginia,
Alabama,
Wisconsin,
Indiana,
Nevada,
Utah,
Maryland,
South Carolina,
Tennessee,
Arizona,
Michigan,
Alaska,
Delaware,
Hawaii,
Iowa,
Idaho,
Kentucky,
Louisiana,
Maine,
Mississippi,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Oklahoma,
Rhode Island,
South Dakota,
Vermont,
Wyoming,
