Region,Honeywell: (2020)
Arizona,100
Rhode Island,74
Minnesota,61
Connecticut,48
North Carolina,48
Delaware,47
Kansas,46
New Jersey,46
South Carolina,45
Missouri,45
North Dakota,44
Virginia,44
Tennessee,42
New Hampshire,42
Indiana,42
Colorado,41
Georgia,41
Illinois,41
South Dakota,40
Ohio,40
Florida,40
Pennsylvania,40
Massachusetts,40
Washington,40
Wisconsin,39
Maryland,39
Kentucky,38
New York,38
Iowa,38
Texas,37
Montana,37
West Virginia,37
New Mexico,36
Nebraska,36
Alabama,35
Alaska,35
Vermont,35
Louisiana,35
Oklahoma,34
Oregon,33
Nevada,33
Michigan,32
District of Columbia,32
Wyoming,31
Idaho,30
California,30
Maine,30
Utah,28
Arkansas,26
Mississippi,23
Hawaii,16
