Region,ConocoPhillips: (2020)
Alaska,100
Oklahoma,23
Wyoming,16
Nebraska,15
North Dakota,14
Texas,12
New Mexico,12
Montana,11
Colorado,8
Idaho,7
Missouri,7
Kansas,6
Hawaii,5
Washington,5
Arkansas,5
Minnesota,4
South Carolina,4
Arizona,4
New York,3
New Jersey,3
Utah,3
Iowa,3
Illinois,3
District of Columbia,3
Maryland,3
California,3
Virginia,3
Kentucky,3
Maine,2
Louisiana,2
Pennsylvania,2
Tennessee,2
West Virginia,2
Indiana,2
Florida,2
Wisconsin,2
North Carolina,2
South Dakota,2
Nevada,2
New Hampshire,2
Ohio,2
Massachusetts,2
Michigan,2
Delaware,1
Georgia,1
Alabama,1
Mississippi,1
Connecticut,1
Oregon,1
Rhode Island,1
Vermont,
