Region,USAA: (2020)
Alaska,100
Virginia,77
Hawaii,64
South Carolina,61
Georgia,59
Colorado,59
New Mexico,57
Texas,57
District of Columbia,56
Maryland,53
Arizona,52
Alabama,52
Delaware,52
North Carolina,49
Wyoming,47
Montana,47
Washington,43
Mississippi,42
Florida,42
Oklahoma,42
Idaho,41
Louisiana,40
Kansas,39
Nevada,38
North Dakota,37
Tennessee,36
Nebraska,34
Rhode Island,32
Arkansas,32
Oregon,32
New Hampshire,32
South Dakota,31
Kentucky,31
Utah,31
Missouri,29
Maine,28
Vermont,27
Connecticut,26
California,25
West Virginia,23
Pennsylvania,22
Minnesota,21
New Jersey,21
Ohio,20
Massachusetts,19
Michigan,19
Indiana,19
New York,19
Illinois,18
Iowa,17
Wisconsin,16
