Region,Exelon: (2020)
Delaware,100
Illinois,74
Maryland,61
District of Columbia,53
Pennsylvania,46
New Jersey,17
Iowa,14
Wisconsin,11
Virginia,10
New Hampshire,10
Massachusetts,9
Maine,9
New York,9
South Carolina,7
Indiana,6
Connecticut,6
Ohio,6
Texas,5
Oregon,5
Kansas,5
Alabama,5
Tennessee,5
Arkansas,5
Florida,5
Arizona,5
Colorado,5
Minnesota,4
Missouri,4
Mississippi,4
North Carolina,4
Georgia,4
California,4
Michigan,3
Oklahoma,3
Washington,3
Rhode Island,3
Kentucky,3
Nevada,2
Utah,2
Nebraska,2
Louisiana,2
Idaho,1
Wyoming,
Montana,
Vermont,
North Dakota,
West Virginia,
South Dakota,
New Mexico,
Alaska,
Hawaii,
