Region,Northrop Grumman: (2020)
Utah,100
Maryland,90
District of Columbia,64
Virginia,62
California,55
Arizona,44
North Dakota,36
Alabama,32
Florida,31
Colorado,30
Minnesota,28
Kansas,28
Wyoming,26
Vermont,26
West Virginia,24
Missouri,23
Idaho,22
Oklahoma,20
Connecticut,20
Delaware,20
New Mexico,19
Maine,19
Massachusetts,18
New Hampshire,18
Nebraska,18
Hawaii,18
New York,18
Washington,17
Illinois,17
Alaska,17
Montana,16
South Dakota,16
Pennsylvania,16
Georgia,15
Indiana,15
Mississippi,14
Texas,14
Wisconsin,14
Oregon,14
Ohio,13
North Carolina,13
Michigan,13
South Carolina,12
Tennessee,12
Rhode Island,12
Nevada,11
Louisiana,11
New Jersey,11
Iowa,10
Arkansas,9
Kentucky,9
