Region,Capital One: (2020)
Louisiana,100
Maryland,52
District of Columbia,51
Virginia,42
Delaware,39
New York,38
New Jersey,34
Mississippi,31
Florida,30
Texas,30
New Hampshire,30
Maine,30
Wyoming,28
Connecticut,28
West Virginia,28
Pennsylvania,28
Georgia,28
Massachusetts,27
Nevada,27
Rhode Island,27
Arkansas,27
North Dakota,26
Alabama,26
Ohio,25
Montana,25
Colorado,25
Illinois,25
South Carolina,25
Wisconsin,24
New Mexico,24
Nebraska,24
Vermont,24
Indiana,24
South Dakota,24
North Carolina,24
Missouri,24
Arizona,23
Minnesota,23
Oklahoma,23
Tennessee,23
Kansas,22
Idaho,22
Michigan,22
Iowa,22
Kentucky,21
California,21
Oregon,20
Washington,20
Hawaii,18
Utah,16
Alaska,16
