Region,Plains GP Holdings: (2020)
Texas,100
Wyoming,
Oregon,
Maryland,
Arizona,
Washington,
Virginia,
Michigan,
North Carolina,
Georgia,
Ohio,
Pennsylvania,
California,
Alaska,
Alabama,
Arkansas,
Colorado,
Connecticut,
District of Columbia,
Delaware,
Florida,
Hawaii,
Iowa,
Idaho,
Illinois,
Indiana,
Kansas,
Kentucky,
Louisiana,
Massachusetts,
Maine,
Minnesota,
Missouri,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Nevada,
New York,
Oklahoma,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Utah,
Vermont,
Wisconsin,
West Virginia,
