Region,AbbVie Inc.: (2020)
Illinois,100
Wisconsin,53
Massachusetts,42
New Jersey,37
District of Columbia,33
Rhode Island,26
Connecticut,24
Alaska,24
California,22
New York,22
Florida,22
Minnesota,21
Pennsylvania,21
Michigan,21
Kansas,20
South Dakota,20
Indiana,19
Missouri,18
New Hampshire,18
Delaware,18
Vermont,18
North Carolina,18
South Carolina,18
Ohio,17
Washington,17
Maryland,17
Arizona,17
Oregon,17
Georgia,16
Virginia,16
North Dakota,15
Idaho,15
Nevada,14
Arkansas,14
Iowa,14
Kentucky,14
Texas,13
Hawaii,13
Colorado,12
West Virginia,12
Oklahoma,11
Alabama,11
Tennessee,11
Louisiana,11
Utah,11
New Mexico,10
Maine,9
Mississippi,9
Wyoming,8
Montana,8
Nebraska,7
