Region,Enterprise Products: (2020)
Texas,100
Louisiana,90
New Mexico,54
District of Columbia,47
Oklahoma,41
Missouri,35
Connecticut,32
Nebraska,29
Arkansas,27
South Carolina,26
Minnesota,26
Colorado,24
Indiana,23
Iowa,20
Virginia,20
Illinois,20
Tennessee,20
New York,19
Kansas,19
New Jersey,19
Georgia,18
Nevada,18
Kentucky,17
Maryland,16
Arizona,16
California,15
Florida,14
Alabama,13
Massachusetts,13
North Carolina,12
Ohio,11
Oregon,11
Pennsylvania,10
Mississippi,9
Wisconsin,8
Washington,7
Utah,6
Michigan,6
Wyoming,
Vermont,
Alaska,
South Dakota,
Idaho,
West Virginia,
North Dakota,
Rhode Island,
New Hampshire,
Delaware,
Hawaii,
Maine,
Montana,
