Region,Northwestern Mutual: (2020)
Wisconsin,100
Minnesota,50
Iowa,43
Illinois,36
Nebraska,34
Colorado,33
Connecticut,31
Indiana,29
Missouri,29
New York,27
West Virginia,27
Montana,26
Kansas,26
District of Columbia,26
Idaho,26
New Hampshire,23
Louisiana,22
South Dakota,22
Pennsylvania,21
Kentucky,21
Virginia,20
Rhode Island,20
Ohio,20
Arkansas,20
Florida,20
Massachusetts,19
North Dakota,19
Tennessee,19
Michigan,19
South Carolina,19
North Carolina,18
Georgia,18
Oregon,18
Alabama,17
New Jersey,17
Utah,15
Maryland,15
Wyoming,15
Arizona,14
Vermont,14
California,14
Washington,13
Texas,13
Mississippi,11
New Mexico,11
Oklahoma,11
Delaware,10
Hawaii,9
Nevada,6
Maine,5
Alaska,
