Region,3M: (2020)
Minnesota,100
South Dakota,68
Hawaii,47
New York,42
Wisconsin,42
Iowa,39
Alaska,39
Nebraska,39
Illinois,39
North Dakota,38
California,37
Washington,36
New Hampshire,36
New Jersey,36
Connecticut,36
Vermont,35
Massachusetts,35
Oregon,34
Florida,34
Missouri,33
District of Columbia,33
Maryland,32
Michigan,32
Rhode Island,32
Virginia,32
Delaware,32
Wyoming,31
Pennsylvania,31
Colorado,30
Texas,30
Montana,30
Kansas,30
Nevada,29
Alabama,29
Arizona,29
Utah,29
South Carolina,29
Maine,29
Indiana,28
Georgia,28
Ohio,28
Tennessee,28
North Carolina,28
Oklahoma,27
West Virginia,26
Kentucky,26
Idaho,26
New Mexico,26
Louisiana,24
Arkansas,23
Mississippi,21
