Region,Abbott Laboratories: (2020)
Maine,100
Illinois,61
Minnesota,50
Alaska,45
Texas,37
District of Columbia,35
Wisconsin,35
Massachusetts,31
New Jersey,30
California,28
Ohio,26
South Dakota,26
Connecticut,25
Kansas,24
Virginia,24
Arizona,24
New York,23
Delaware,23
New Hampshire,21
Michigan,21
Hawaii,20
Florida,20
Indiana,19
Oregon,18
Rhode Island,18
Louisiana,18
Missouri,17
Nebraska,17
Tennessee,17
Pennsylvania,17
Maryland,17
Colorado,17
North Carolina,16
South Carolina,16
Washington,16
Georgia,16
Arkansas,16
Montana,16
North Dakota,16
Idaho,15
Iowa,15
Nevada,15
Oklahoma,15
Alabama,14
Kentucky,13
Vermont,13
New Mexico,12
Utah,12
West Virginia,10
Mississippi,9
Wyoming,7
