Region,CHS Inc.: (2020)
South Dakota,100
Minnesota,81
North Dakota,64
Montana,63
Iowa,20
Kansas,16
Nebraska,14
Wisconsin,10
Wyoming,9
Washington,7
Illinois,6
Idaho,5
Missouri,4
Tennessee,3
Utah,2
Oregon,2
Connecticut,2
Colorado,2
Oklahoma,2
Michigan,2
Kentucky,1
South Carolina,1
New Jersey,1
Pennsylvania,1
Arizona,1
Texas,1
New York,1
Louisiana,1
Delaware,1
District of Columbia,1
Indiana,1
Nevada,1
Alabama,1
Virginia,1
Ohio,1
California,1
Rhode Island,1
Hawaii,1
Maine,1
West Virginia,1
Massachusetts,1
Florida,1
North Carolina,1
New Mexico,1
Georgia,1
Mississippi,1
Maryland,<1
Alaska,
Arkansas,
New Hampshire,
Vermont,
