Region,The Travelers Companies: (2020)
Connecticut,100
South Carolina,49
Vermont,41
Georgia,40
Montana,35
Kansas,35
Colorado,34
Delaware,34
Massachusetts,33
New Jersey,33
District of Columbia,31
New York,31
New Hampshire,31
Minnesota,30
Pennsylvania,30
Maryland,29
Maine,29
Virginia,28
Alabama,27
Idaho,26
Rhode Island,26
Missouri,26
Nebraska,25
Tennessee,24
Texas,23
Utah,23
Arizona,22
North Carolina,22
Illinois,21
New Mexico,21
Nevada,21
Iowa,20
Oregon,20
Kentucky,20
Indiana,20
Washington,19
Florida,18
Mississippi,17
California,16
Ohio,15
Arkansas,15
Wisconsin,14
Oklahoma,13
Wyoming,11
Michigan,10
West Virginia,9
Alaska,9
South Dakota,8
Louisiana,8
Hawaii,8
North Dakota,6
