Region,Philip Morris International: (2020)
Virginia,100
District of Columbia,71
Rhode Island,63
Delaware,54
West Virginia,53
Vermont,49
Maine,46
Massachusetts,43
South Carolina,43
North Carolina,42
Mississippi,41
Montana,40
Connecticut,39
New York,38
Kentucky,38
Wisconsin,38
Missouri,37
Illinois,37
Arkansas,37
New Jersey,35
North Dakota,35
Idaho,35
Indiana,34
Nebraska,33
Oklahoma,33
Colorado,32
Florida,31
Utah,31
Maryland,30
Michigan,29
New Hampshire,29
Arizona,29
Ohio,28
Hawaii,28
Pennsylvania,28
Tennessee,26
California,25
Iowa,25
Washington,24
Alabama,23
Oregon,23
Louisiana,23
Texas,22
Georgia,21
New Mexico,18
South Dakota,17
Minnesota,15
Kansas,14
Nevada,13
Alaska,11
Wyoming,
