Region,Raytheon Company: (2020)
Massachusetts,100
New Hampshire,81
Connecticut,72
Arizona,72
Rhode Island,42
District of Columbia,39
Colorado,34
Virginia,34
New Mexico,32
Texas,26
Iowa,26
Maryland,26
Alabama,25
Maine,24
Mississippi,24
California,23
Vermont,22
Indiana,21
Florida,19
Utah,18
Hawaii,18
New Jersey,15
New York,15
Alaska,14
Kentucky,13
Washington,13
Georgia,13
Oregon,12
North Carolina,12
Minnesota,12
Oklahoma,12
Michigan,11
Pennsylvania,11
Kansas,11
Nevada,11
South Carolina,11
Wisconsin,11
Illinois,11
Missouri,10
Ohio,10
Nebraska,10
Louisiana,10
North Dakota,8
Wyoming,8
Idaho,8
South Dakota,8
Tennessee,8
West Virginia,8
Montana,7
Arkansas,7
Delaware,6
