Region,Hewlett Packard Enterprise: (2020)
Mississippi,100
Texas,96
Colorado,89
New Hampshire,85
Alabama,83
Georgia,83
North Carolina,82
Maryland,82
New York,81
Massachusetts,81
South Carolina,81
California,81
Virginia,76
Connecticut,75
Illinois,74
New Jersey,74
District of Columbia,74
Wyoming,72
Florida,69
Oregon,68
Ohio,68
Rhode Island,66
North Dakota,65
Minnesota,64
Arizona,62
Pennsylvania,62
Tennessee,59
Kansas,59
Wisconsin,59
Indiana,58
Louisiana,58
Kentucky,57
South Dakota,57
Utah,57
Michigan,56
Washington,56
Vermont,56
Nebraska,52
Montana,49
Oklahoma,49
Nevada,49
Arkansas,49
Iowa,44
Missouri,42
New Mexico,40
Delaware,38
Idaho,33
Hawaii,32
Alaska,31
Maine,23
West Virginia,20
