Region,Arrow Electronics: (2020)
Colorado,100
Nevada,31
New Hampshire,27
Connecticut,16
Massachusetts,15
Arizona,14
California,13
Virginia,13
Illinois,12
Minnesota,12
Wyoming,12
Oregon,11
New York,10
Mississippi,10
Georgia,10
Texas,9
Ohio,9
Pennsylvania,9
Washington,8
Alabama,8
Missouri,8
Tennessee,7
Michigan,7
Oklahoma,7
Utah,7
Florida,7
Indiana,6
Iowa,6
South Carolina,6
Wisconsin,6
District of Columbia,5
Maryland,5
New Jersey,5
North Carolina,4
Louisiana,4
Nebraska,3
Vermont,
South Dakota,
New Mexico,
Alaska,
North Dakota,
Idaho,
Delaware,
Arkansas,
Hawaii,
Kansas,
Kentucky,
Maine,
Montana,
Rhode Island,
West Virginia,
