Region,ViacomCBS: (2020)
New York,100
District of Columbia,75
New Jersey,72
Connecticut,46
California,45
Maryland,40
Massachusetts,36
Tennessee,35
Georgia,34
Nevada,31
Pennsylvania,31
Washington,31
Virginia,26
Florida,25
Missouri,24
Colorado,24
Illinois,22
Alabama,21
Michigan,21
North Carolina,20
Wisconsin,19
Minnesota,19
Arizona,17
Ohio,16
Oregon,15
Indiana,15
Texas,15
South Carolina,14
Kentucky,6
Hawaii,
Delaware,
Rhode Island,
Mississippi,
Alaska,
Vermont,
Maine,
Kansas,
New Mexico,
Nebraska,
Arkansas,
Idaho,
Louisiana,
South Dakota,
New Hampshire,
Oklahoma,
West Virginia,
Utah,
Iowa,
Montana,
North Dakota,
Wyoming,
