Region,Dollar General: (2020)
Mississippi,100
Alabama,92
Arkansas,76
West Virginia,74
Oklahoma,62
Tennessee,60
Kentucky,60
Louisiana,58
South Carolina,54
Missouri,53
Georgia,49
Indiana,45
Iowa,45
North Carolina,43
Kansas,43
Ohio,42
Pennsylvania,36
Texas,33
Michigan,31
South Dakota,31
Nebraska,31
North Dakota,28
Delaware,28
Illinois,27
Florida,26
New Mexico,25
Virginia,24
Maine,22
Vermont,21
Wisconsin,20
Maryland,16
Minnesota,16
New Hampshire,15
New York,14
Rhode Island,14
Connecticut,13
New Jersey,12
Arizona,10
Nevada,8
Oregon,7
Wyoming,7
Colorado,7
Massachusetts,6
California,6
District of Columbia,4
Utah,3
Washington,2
Alaska,2
Montana,2
Idaho,1
Hawaii,1
