Region,U.S. Bancorp: (2020)
Minnesota,100
Oregon,95
Idaho,85
Missouri,83
Nebraska,64
Nevada,63
Colorado,59
North Dakota,57
Iowa,54
Wisconsin,50
Kentucky,49
Montana,49
Washington,47
Ohio,43
South Dakota,43
Wyoming,43
Illinois,37
Kansas,32
Arkansas,30
Utah,29
New Mexico,29
Tennessee,26
Arizona,25
California,24
Indiana,10
Pennsylvania,10
District of Columbia,10
Louisiana,9
Alaska,7
Texas,7
Oklahoma,7
Michigan,7
Delaware,6
West Virginia,6
Maine,6
Georgia,5
Vermont,5
Florida,5
Hawaii,5
Maryland,5
Mississippi,5
Virginia,4
Alabama,4
North Carolina,4
Massachusetts,4
South Carolina,4
New Jersey,3
Rhode Island,3
New York,3
Connecticut,3
New Hampshire,2
