Region,Starbucks: (2020)
California,100
Arizona,92
Nevada,88
Washington,85
New Mexico,85
Hawaii,85
Illinois,83
Texas,74
Colorado,74
Indiana,72
Oregon,67
Wisconsin,64
North Dakota,64
Ohio,64
Virginia,63
Georgia,63
Utah,61
Missouri,60
Nebraska,59
South Carolina,59
North Carolina,58
Florida,57
Tennessee,57
Oklahoma,57
Michigan,56
Kansas,56
Iowa,56
Minnesota,56
Maryland,55
Wyoming,55
Kentucky,54
Pennsylvania,52
Alabama,51
Massachusetts,51
Connecticut,50
New Jersey,50
West Virginia,49
Arkansas,49
Delaware,48
South Dakota,48
Louisiana,48
Idaho,47
District of Columbia,47
New York,46
Montana,45
Rhode Island,44
New Hampshire,40
Alaska,38
Mississippi,37
Maine,34
Vermont,32
