Region,Bristol Myers Squibb: (2020)
New Jersey,100
Massachusetts,34
New Hampshire,33
District of Columbia,31
Connecticut,29
New York,27
Pennsylvania,24
Delaware,18
Washington,17
Maryland,16
Florida,14
Nebraska,13
Illinois,13
California,13
North Carolina,12
Maine,12
South Dakota,12
South Carolina,12
Virginia,11
Ohio,11
Tennessee,11
Rhode Island,11
Michigan,11
Minnesota,11
Missouri,10
Vermont,10
Wisconsin,10
Arizona,9
Indiana,9
Alabama,8
Nevada,8
Oregon,7
Texas,7
Kentucky,7
North Dakota,7
Georgia,7
Kansas,7
Colorado,7
Iowa,7
New Mexico,7
Montana,7
Mississippi,7
Alaska,7
Oklahoma,6
Arkansas,6
Utah,6
Louisiana,6
Hawaii,5
West Virginia,4
Idaho,4
Wyoming,
