Region,US Foods Holding Corp.: (2020)
Nebraska,100
Oregon,44
New Jersey,37
Wisconsin,33
Indiana,32
Virginia,19
North Carolina,17
Georgia,16
Pennsylvania,14
Illinois,13
Texas,12
Florida,8
New York,8
California,4
District of Columbia,
Alaska,
Alabama,
Arkansas,
Arizona,
Colorado,
Connecticut,
Delaware,
Hawaii,
Iowa,
Idaho,
Kansas,
Kentucky,
Louisiana,
Massachusetts,
Maryland,
Maine,
Michigan,
Minnesota,
Missouri,
Mississippi,
Montana,
North Dakota,
New Hampshire,
New Mexico,
Nevada,
Ohio,
Oklahoma,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Utah,
Vermont,
Washington,
West Virginia,
Wyoming,
