Region,Mondelez International: (2020)
Illinois,100
New Jersey,93
Pennsylvania,64
Rhode Island,63
Virginia,63
Wisconsin,61
District of Columbia,55
Massachusetts,54
Nebraska,54
Utah,52
New York,51
Minnesota,50
Delaware,49
New Hampshire,49
Missouri,49
Arkansas,48
Oregon,48
South Carolina,48
Kansas,47
West Virginia,47
Ohio,41
Connecticut,40
Tennessee,39
Maine,38
Indiana,37
Alabama,35
North Carolina,35
Iowa,35
Maryland,34
Georgia,34
Texas,32
Michigan,32
Idaho,31
Florida,31
Washington,31
California,28
Kentucky,26
Colorado,24
Nevada,24
Montana,23
Mississippi,23
Hawaii,22
New Mexico,22
Louisiana,21
Arizona,20
Wyoming,15
Oklahoma,13
South Dakota,10
Alaska,
North Dakota,
Vermont,
