Region,PACCAR: (2020)
Washington,100
Mississippi,72
South Dakota,61
Kansas,45
Montana,44
North Dakota,44
Wyoming,43
Ohio,40
Oklahoma,39
Indiana,32
Kentucky,31
Texas,31
Nebraska,31
West Virginia,30
Oregon,28
Iowa,27
Illinois,26
Arkansas,26
Missouri,26
Minnesota,23
Georgia,23
Alabama,21
Wisconsin,21
Louisiana,21
South Carolina,20
Pennsylvania,18
Michigan,17
Utah,17
Tennessee,17
California,15
Idaho,15
Nevada,14
North Carolina,14
Colorado,14
Arizona,14
Maine,13
Alaska,12
Virginia,12
New Hampshire,12
New York,10
Florida,10
Connecticut,9
New Jersey,9
Maryland,7
New Mexico,7
Massachusetts,6
District of Columbia,3
Delaware,
Vermont,
Hawaii,
Rhode Island,
