Region,Thermo Fisher Scientific: (2020)
Massachusetts,100
New Hampshire,57
Rhode Island,52
Pennsylvania,51
District of Columbia,48
Kansas,48
Maryland,47
North Carolina,45
California,44
Delaware,41
Vermont,41
Utah,41
New Jersey,37
Missouri,36
Connecticut,35
West Virginia,34
Wisconsin,33
New York,33
Virginia,30
Oregon,29
Illinois,29
North Dakota,28
Indiana,28
Maine,27
Washington,26
Tennessee,25
South Carolina,25
Ohio,25
Minnesota,24
Idaho,23
Hawaii,22
Montana,22
Iowa,22
Colorado,21
Nebraska,21
Georgia,20
Michigan,20
Alabama,20
New Mexico,20
Kentucky,20
Arizona,20
Texas,19
Arkansas,18
Oklahoma,18
Florida,18
Louisiana,17
Wyoming,16
Mississippi,15
Nevada,14
South Dakota,14
Alaska,14
