Region,Macy's: (2020)
New York,100
New Jersey,94
Hawaii,80
California,78
Rhode Island,70
Massachusetts,70
Maryland,70
Connecticut,65
Delaware,64
District of Columbia,63
Florida,60
Illinois,59
Pennsylvania,58
Georgia,54
Washington,54
Michigan,54
Virginia,52
Nevada,52
Ohio,50
Minnesota,49
Texas,46
Oregon,44
New Hampshire,44
Missouri,42
Kentucky,42
Indiana,41
Arizona,40
West Virginia,38
Louisiana,37
Tennessee,36
Colorado,33
Maine,33
Idaho,32
Wisconsin,30
Alabama,29
North Carolina,28
Mississippi,27
South Carolina,27
North Dakota,26
Utah,25
Oklahoma,25
New Mexico,25
Kansas,24
South Dakota,22
Montana,20
Vermont,19
Arkansas,19
Iowa,15
Wyoming,15
Nebraska,14
Alaska,14
