Region,Jabil: (2020)
New Mexico,100
Florida,84
Kentucky,61
Colorado,59
Massachusetts,51
Texas,43
Michigan,41
North Carolina,40
California,38
Illinois,33
Minnesota,31
Wisconsin,30
Arizona,29
Mississippi,28
Oregon,28
New York,25
Georgia,23
Connecticut,22
New Hampshire,21
Tennessee,21
Ohio,20
Nevada,19
Iowa,18
South Carolina,17
New Jersey,15
Pennsylvania,14
Virginia,13
Washington,12
Alabama,12
District of Columbia,10
Maryland,10
Indiana,8
Idaho,7
Oklahoma,6
Utah,6
Kansas,4
Missouri,3
Maine,
Arkansas,
Vermont,
North Dakota,
Montana,
Delaware,
Rhode Island,
Hawaii,
West Virginia,
Nebraska,
Louisiana,
Alaska,
South Dakota,
Wyoming,
