Region,Kraft Heinz Company: (2020)
Iowa,100
Illinois,90
Delaware,83
Pennsylvania,83
Nebraska,72
Idaho,65
Missouri,64
North Dakota,60
Ohio,60
Vermont,56
New York,54
New Jersey,50
Connecticut,49
Minnesota,49
South Dakota,48
New Hampshire,48
Indiana,48
Wisconsin,47
Michigan,47
South Carolina,47
Arkansas,47
West Virginia,46
Massachusetts,46
Virginia,45
Maryland,44
Florida,41
Kentucky,40
North Carolina,40
Wyoming,40
Oregon,40
California,38
Rhode Island,37
Colorado,36
District of Columbia,35
Tennessee,35
Washington,35
Alabama,34
Arizona,34
Georgia,34
Utah,33
Texas,32
Kansas,32
Hawaii,31
Nevada,30
Oklahoma,30
Maine,28
New Mexico,28
Louisiana,28
Alaska,28
Mississippi,27
Montana,24
