Region,Duke Energy: (2020)
North Carolina,100
South Carolina,58
Indiana,39
Florida,26
Ohio,19
Kentucky,14
Georgia,4
Tennessee,3
Virginia,2
Illinois,2
Alabama,2
West Virginia,1
Maryland,1
Missouri,1
Pennsylvania,1
District of Columbia,1
Mississippi,1
New York,1
New Jersey,1
Wisconsin,1
Iowa,1
Kansas,1
Delaware,1
Connecticut,1
Maine,1
Michigan,1
Vermont,1
Rhode Island,1
Texas,1
Oklahoma,1
Montana,1
Massachusetts,1
Louisiana,1
New Hampshire,1
Colorado,1
Wyoming,1
Nebraska,1
Arizona,1
Arkansas,1
Idaho,1
Minnesota,1
California,1
New Mexico,1
Washington,<1
South Dakota,<1
Hawaii,<1
Utah,<1
Nevada,<1
Oregon,<1
North Dakota,<1
Alaska,<1
