Region,"Tesla, Inc.: (2020)"
California,100
Nevada,84
Hawaii,75
Washington,69
New Jersey,68
Arizona,58
Colorado,57
Connecticut,56
Utah,56
New York,55
Massachusetts,55
Oregon,55
Florida,54
District of Columbia,53
Virginia,53
Maryland,52
Illinois,51
Minnesota,46
New Hampshire,45
Texas,45
Delaware,44
Vermont,44
Rhode Island,44
Georgia,43
Pennsylvania,42
Alaska,40
Michigan,40
Idaho,39
North Carolina,39
Nebraska,38
Missouri,38
Wisconsin,37
Ohio,36
New Mexico,36
Montana,35
Maine,35
Kansas,34
Indiana,34
Tennessee,33
Iowa,33
Oklahoma,33
North Dakota,32
South Carolina,32
South Dakota,32
Wyoming,30
Alabama,29
Arkansas,28
Kentucky,27
Louisiana,26
West Virginia,23
Mississippi,21
