Region,PBF Energy: (2020)
Delaware,100
Louisiana,26
New Jersey,12
Ohio,10
Pennsylvania,5
California,4
Texas,4
Connecticut,4
Maryland,3
New York,2
Massachusetts,2
Florida,2
Washington,2
Virginia,2
Michigan,2
Illinois,2
Arizona,2
Wisconsin,1
North Carolina,1
Georgia,<1
Idaho,
Nevada,
District of Columbia,
New Hampshire,
Oregon,
Tennessee,
New Mexico,
Kentucky,
Colorado,
Mississippi,
Kansas,
Iowa,
Missouri,
Oklahoma,
Utah,
Indiana,
Alabama,
South Carolina,
Minnesota,
Alaska,
Arkansas,
Hawaii,
Maine,
Montana,
North Dakota,
Nebraska,
Rhode Island,
South Dakota,
Vermont,
West Virginia,
Wyoming,
