Region,Qualcomm: (2020)
California,100
District of Columbia,38
New Jersey,36
Washington,36
Montana,36
Colorado,36
Massachusetts,35
Vermont,30
Virginia,30
Hawaii,30
New York,29
Connecticut,28
Arizona,27
Nevada,27
Delaware,25
New Hampshire,25
Florida,24
Georgia,24
Oregon,24
Maryland,24
Illinois,23
Michigan,23
Iowa,23
Rhode Island,22
Wyoming,22
Texas,22
Wisconsin,21
Maine,21
New Mexico,21
North Carolina,21
Indiana,21
Missouri,20
North Dakota,20
Idaho,19
Arkansas,19
Minnesota,19
Utah,19
Pennsylvania,19
Kansas,19
Ohio,19
Nebraska,17
Oklahoma,17
Kentucky,17
Tennessee,16
South Dakota,15
Alaska,14
South Carolina,14
Alabama,14
Mississippi,14
Louisiana,12
West Virginia,10
