Region,NGL Energy Partners: (2020)
Oklahoma,100
Colorado,51
Texas,11
New Jersey,10
New York,5
California,5
Massachusetts,4
Illinois,3
Florida,2
Pennsylvania,1
North Dakota,
Arkansas,
New Hampshire,
Louisiana,
Mississippi,
Oregon,
Maryland,
Virginia,
Washington,
Connecticut,
Wisconsin,
Minnesota,
Tennessee,
Arizona,
North Carolina,
Ohio,
Alaska,
Alabama,
District of Columbia,
Delaware,
Georgia,
Hawaii,
Iowa,
Idaho,
Indiana,
Kansas,
Kentucky,
Maine,
Michigan,
Missouri,
Montana,
Nebraska,
New Mexico,
Nevada,
Rhode Island,
South Carolina,
South Dakota,
Utah,
Vermont,
West Virginia,
Wyoming,
