Region,CBRE Group: (2020)
District of Columbia,100
Texas,61
Massachusetts,59
Colorado,55
California,53
Washington,51
Illinois,49
New York,48
Connecticut,46
Arizona,43
New Jersey,38
Hawaii,36
Georgia,36
Virginia,35
Pennsylvania,33
Oregon,32
Minnesota,31
Tennessee,31
North Carolina,31
Nebraska,29
Ohio,29
Missouri,29
Maryland,28
South Carolina,27
Indiana,27
Oklahoma,27
Wisconsin,27
Utah,25
Florida,24
Michigan,24
Delaware,21
North Dakota,19
Nevada,18
New Hampshire,18
Alabama,17
Rhode Island,17
Iowa,16
Kansas,16
Montana,14
Mississippi,14
Kentucky,14
New Mexico,13
Maine,12
Arkansas,12
Louisiana,10
West Virginia,10
Idaho,7
Vermont,
Wyoming,
South Dakota,
Alaska,
