Region,Baker Hughes: (2020)
Oklahoma,100
Texas,73
Wyoming,52
Louisiana,44
North Dakota,44
Alaska,22
Colorado,21
Nevada,16
District of Columbia,13
New Mexico,12
Massachusetts,12
Ohio,11
Montana,11
New York,11
Connecticut,10
Utah,10
Mississippi,10
Kansas,9
West Virginia,9
South Dakota,9
Arkansas,9
Pennsylvania,8
California,8
New Jersey,7
South Carolina,7
Illinois,7
Maryland,6
Missouri,6
Virginia,6
Florida,6
Georgia,6
North Carolina,5
Wisconsin,5
New Hampshire,5
Washington,5
Delaware,5
Michigan,5
Tennessee,5
Idaho,5
Oregon,5
Arizona,5
Alabama,4
Iowa,4
Hawaii,4
Maine,4
Kentucky,3
Minnesota,3
Indiana,3
Rhode Island,3
Nebraska,2
Vermont,
